SLC3A1
SLC3A2
SLC6A14
SLC7A1
SLC7A2
SLC7A3
SLC7A4
SLC7A5
SLC7A6
SLC7A7
SLC7A8
SLC7A9
SLC7A10
SLC7A11
SLC7A12
SLC7A13
SLC7A14
SLC25A2
SLC25A15
SLC38A8
SLC38A9
